,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_lower_level,traffic-nj511-minutes-route_46_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_upper_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_upper_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level
183,7.0,5.0,5.0,7.0,5.0
184,7.0,5.0,5.0,7.0,5.0
185,10.0,10.0,5.0,7.0,6.0
186,10.0,10.0,5.0,7.0,6.0
187,9.0,5.0,5.0,7.0,5.0
188,7.0,5.0,5.0,7.0,5.0
189,7.0,5.0,5.0,7.0,5.0
190,8.0,5.0,5.0,8.0,5.0
191,8.0,5.0,5.0,8.0,5.0
192,7.0,6.0,5.0,7.0,5.0
193,7.0,5.0,5.0,7.0,5.0
194,7.0,5.0,5.0,7.0,5.0
195,7.0,5.0,5.0,7.0,5.0
196,7.0,5.0,5.0,8.0,5.0
197,7.0,6.0,5.0,8.0,5.0
198,8.0,5.0,5.0,7.0,5.0
199,7.0,5.0,5.0,7.0,5.0
200,7.0,5.0,5.0,7.0,5.0
201,7.0,5.0,5.0,7.0,5.0
202,7.0,5.0,5.0,7.0,5.0
203,7.0,5.0,5.0,7.0,5.0
204,7.0,5.0,5.0,7.0,5.0
205,7.0,5.0,5.0,7.0,5.0
206,7.0,5.0,5.0,7.0,5.0
207,7.0,5.0,5.0,7.0,5.0
208,7.0,5.0,5.0,7.0,5.0
209,7.0,5.0,5.0,7.0,5.0
210,7.0,5.0,5.0,7.0,5.0
211,7.0,5.0,5.0,7.0,5.0
212,7.0,6.0,5.0,7.0,5.0
213,7.0,5.0,5.0,7.0,5.0
214,7.0,6.0,5.0,7.0,5.0
215,7.0,5.0,5.0,7.0,5.0
216,7.0,5.0,5.0,7.0,5.0
217,7.0,5.0,5.0,7.0,5.0
218,7.0,5.0,5.0,7.0,5.0
219,7.0,5.0,5.0,7.0,5.0
220,7.0,5.0,5.0,7.0,5.0
221,7.0,5.0,5.0,7.0,5.0
222,7.0,5.0,5.0,7.0,5.0
223,7.0,5.0,5.0,7.0,5.0
224,7.0,5.0,5.0,7.0,5.0
225,7.0,5.0,5.0,7.0,5.0
226,7.0,5.0,5.0,7.0,5.0
227,7.0,5.0,5.0,8.0,5.0
228,7.0,5.0,5.0,8.0,5.0
229,7.0,5.0,5.0,8.0,5.0
230,7.0,5.0,5.0,8.0,5.0
231,7.0,5.0,5.0,8.0,5.0
232,7.0,5.0,5.0,7.0,5.0
233,7.0,5.0,5.0,7.0,5.0
234,7.0,5.0,5.0,8.0,5.0
235,7.0,5.0,5.0,8.0,5.0
236,7.0,5.0,5.0,8.0,5.0
237,7.0,5.0,5.0,8.0,5.0
238,7.0,5.0,5.0,8.0,5.0
239,7.0,5.0,5.0,8.0,5.0
240,7.0,5.0,5.0,8.0,5.0
241,7.0,5.0,5.0,8.0,5.0
242,7.0,6.0,5.0,7.0,5.0
243,7.0,6.0,5.0,7.0,5.0
244,7.0,6.0,5.0,7.0,5.0
245,7.0,5.0,5.0,7.0,5.0
246,7.0,5.0,5.0,7.0,5.0
247,7.0,5.0,5.0,7.0,5.0
248,7.0,5.0,5.0,7.0,5.0
249,7.0,5.0,5.0,7.0,5.0
250,7.0,6.0,5.0,7.0,5.0
251,7.0,6.0,5.0,7.0,5.0
252,7.0,5.0,5.0,7.0,5.0
253,7.0,5.0,5.0,7.0,5.0
254,7.0,5.0,5.0,7.0,5.0
255,7.0,5.0,5.0,7.0,5.0
256,7.0,5.0,5.0,8.0,5.0
257,7.0,5.0,5.0,8.0,5.0
258,7.0,5.0,5.0,8.0,5.0
259,7.0,6.0,5.0,8.0,5.0
260,7.0,6.0,5.0,7.0,5.0
261,7.0,5.0,5.0,8.0,5.0
262,8.0,5.0,5.0,8.0,5.0
263,8.0,6.0,6.0,8.0,5.0
264,8.0,6.0,6.0,8.0,5.0
265,8.0,6.0,6.0,8.0,5.0
266,8.0,6.0,6.0,8.0,5.0
267,8.0,6.0,5.0,8.0,5.0
268,8.0,6.0,5.0,8.0,5.0
269,8.0,6.0,5.0,8.0,5.0
270,8.0,6.0,5.0,8.0,5.0
271,8.0,5.0,5.0,8.0,5.0
272,7.0,6.0,5.0,8.0,5.0
273,8.0,6.0,5.0,8.0,5.0
274,8.0,6.0,5.0,8.0,5.0
275,8.0,6.0,6.0,8.0,5.0
276,8.0,6.0,5.0,8.0,5.0
277,8.0,6.0,5.0,8.0,5.0
278,8.0,6.0,5.0,8.0,5.0
279,8.0,6.0,5.0,8.0,5.0
280,8.0,6.0,5.0,8.0,5.0
281,8.0,6.0,5.0,8.0,5.0
282,8.0,6.0,5.0,8.0,5.0
283,8.0,6.0,5.0,8.0,5.0
284,8.0,6.0,5.0,8.0,5.0
285,8.0,6.0,5.0,8.0,5.0
286,8.0,6.0,5.0,8.0,5.0
287,8.0,6.0,5.0,8.0,5.0
288,8.0,6.0,5.0,8.0,5.0
289,8.0,6.0,5.0,8.0,5.0
290,8.0,6.0,6.0,8.0,5.0
291,8.0,6.0,5.0,8.0,5.0
292,8.0,6.0,6.0,8.0,5.0
293,8.0,6.0,6.0,8.0,5.0
294,8.0,6.0,6.0,8.0,5.0
295,8.0,6.0,6.0,8.0,5.0
296,8.0,5.0,6.0,8.0,5.0
297,8.0,6.0,6.0,8.0,5.0
298,8.0,6.0,6.0,8.0,5.0
299,8.0,6.0,5.0,8.0,5.0
300,8.0,6.0,5.0,8.0,5.0
301,8.0,6.0,5.0,8.0,5.0
302,8.0,5.0,6.0,8.0,5.0
303,8.0,5.0,6.0,8.0,5.0
304,8.0,6.0,5.0,8.0,5.0
305,8.0,6.0,5.0,8.0,5.0
306,8.0,7.0,6.0,8.0,5.0
307,8.0,7.0,5.0,8.0,5.0
308,8.0,6.0,6.0,8.0,5.0
309,8.0,6.0,5.0,8.0,5.0
310,8.0,6.0,5.0,8.0,5.0
311,8.0,6.0,5.0,8.0,5.0
312,8.0,6.0,6.0,8.0,5.0
313,8.0,6.0,6.0,9.0,5.0
314,8.0,6.0,6.0,9.0,5.0
315,8.0,6.0,6.0,9.0,5.0
316,8.0,6.0,6.0,9.0,5.0
317,8.0,6.0,6.0,9.0,5.0
318,9.0,6.0,6.0,9.0,6.0
319,11.0,6.0,6.0,9.0,6.0
320,11.0,6.0,6.0,9.0,5.0
321,10.0,6.0,6.0,9.0,5.0
322,8.0,6.0,6.0,9.0,6.0
323,8.0,6.0,6.0,9.0,6.0
324,9.0,6.0,6.0,9.0,6.0
325,9.0,7.0,7.0,10.0,6.0
326,9.0,7.0,7.0,10.0,6.0
327,9.0,7.0,7.0,10.0,6.0
328,9.0,7.0,7.0,10.0,6.0
329,9.0,7.0,7.0,10.0,6.0
330,9.0,7.0,7.0,10.0,6.0
331,10.0,7.0,7.0,10.0,6.0
332,10.0,7.0,6.0,9.0,6.0
333,9.0,7.0,6.0,9.0,6.0
334,9.0,7.0,6.0,9.0,6.0
335,9.0,7.0,6.0,9.0,6.0
336,9.0,7.0,6.0,9.0,6.0
337,9.0,7.0,6.0,9.0,6.0
338,9.0,7.0,7.0,9.0,6.0
339,9.0,7.0,8.0,10.0,7.0
340,9.0,7.0,8.0,10.0,8.0
341,9.0,7.0,7.0,10.0,7.0
342,10.0,7.0,7.0,10.0,7.0
343,10.0,7.0,8.0,11.0,7.0
344,10.0,8.0,8.0,11.0,7.0
345,10.0,8.0,7.0,13.0,7.0
346,9.0,7.0,7.0,12.0,7.0
347,10.0,8.0,7.0,10.0,7.0
348,10.0,8.0,7.0,10.0,6.0
349,10.0,8.0,7.0,10.0,7.0
350,10.0,7.0,7.0,10.0,6.0
351,10.0,7.0,7.0,11.0,6.0
352,10.0,7.0,7.0,10.0,6.0
353,10.0,7.0,7.0,10.0,6.0
354,10.0,7.0,7.0,10.0,6.0
355,10.0,7.0,7.0,10.0,7.0
356,10.0,7.0,7.0,10.0,7.0
357,10.0,7.0,7.0,10.0,7.0
358,10.0,7.0,7.0,10.0,7.0
359,10.0,7.0,7.0,10.0,7.0
360,10.0,7.0,7.0,10.0,7.0
361,10.0,7.0,7.0,10.0,7.0
362,10.0,7.0,8.0,10.0,8.0
363,10.0,7.0,8.0,10.0,8.0
364,10.0,7.0,7.0,10.0,7.0
365,10.0,7.0,7.0,11.0,7.0
366,10.0,7.0,7.0,10.0,7.0
367,11.0,7.0,7.0,10.0,6.0
368,9.0,7.0,7.0,10.0,6.0
369,9.0,7.0,7.0,9.0,6.0
370,9.0,7.0,6.0,10.0,6.0
371,9.0,7.0,6.0,10.0,6.0
372,9.0,6.0,6.0,10.0,6.0
373,10.0,7.0,6.0,10.0,6.0
374,10.0,7.0,6.0,10.0,6.0
375,10.0,7.0,16.0,27.0,6.0
376,11.0,7.0,7.0,18.0,6.0
377,17.0,7.0,6.0,15.0,6.0
378,15.0,8.0,7.0,15.0,7.0
379,15.0,8.0,7.0,14.0,6.0
380,14.0,8.0,7.0,10.0,6.0
381,10.0,8.0,7.0,10.0,6.0
382,9.0,9.0,6.0,9.0,6.0
383,8.0,9.0,6.0,9.0,6.0
384,9.0,9.0,6.0,9.0,6.0
385,9.0,8.0,6.0,9.0,6.0
386,9.0,7.0,6.0,8.0,6.0
387,9.0,7.0,6.0,8.0,6.0
388,8.0,6.0,6.0,8.0,6.0
389,8.0,6.0,7.0,9.0,5.0
390,9.0,6.0,6.0,8.0,6.0
391,8.0,6.0,6.0,8.0,5.0
392,8.0,6.0,6.0,8.0,5.0
393,8.0,6.0,6.0,9.0,5.0
394,8.0,6.0,6.0,8.0,6.0
395,9.0,6.0,6.0,8.0,6.0
396,9.0,6.0,5.0,8.0,6.0
397,9.0,6.0,5.0,8.0,5.0
398,8.0,6.0,5.0,8.0,5.0
399,8.0,6.0,5.0,8.0,5.0
400,8.0,6.0,5.0,8.0,5.0
401,8.0,6.0,5.0,8.0,5.0
402,8.0,6.0,5.0,8.0,5.0
403,8.0,6.0,5.0,8.0,5.0
404,8.0,6.0,5.0,8.0,5.0
405,8.0,6.0,6.0,8.0,5.0
406,8.0,7.0,6.0,8.0,5.0
407,8.0,7.0,6.0,8.0,5.0
408,8.0,7.0,5.0,8.0,5.0
409,8.0,6.0,5.0,8.0,5.0
410,8.0,6.0,5.0,7.0,5.0
411,8.0,6.0,5.0,7.0,5.0
412,8.0,6.0,5.0,8.0,5.0
413,8.0,5.0,5.0,8.0,5.0
414,8.0,5.0,5.0,8.0,5.0
415,8.0,5.0,5.0,8.0,5.0
416,8.0,5.0,5.0,8.0,5.0
417,8.0,5.0,5.0,8.0,5.0
418,8.0,6.0,5.0,8.0,5.0
419,8.0,6.0,5.0,8.0,5.0
420,8.0,5.0,5.0,8.0,5.0
421,8.0,6.0,5.0,8.0,5.0
422,8.0,6.0,5.0,8.0,5.0
423,8.0,6.0,5.0,8.0,5.0
424,8.0,6.0,6.0,8.0,5.0
425,8.0,6.0,6.0,8.0,5.0
426,8.0,6.0,6.0,8.0,5.0
427,8.0,6.0,5.0,8.0,5.0
428,8.0,6.0,5.0,8.0,5.0
429,8.0,6.0,5.0,8.0,5.0
430,8.0,6.0,5.0,8.0,5.0
431,8.0,6.0,5.0,8.0,5.0
432,7.0,6.0,5.0,8.0,5.0
433,7.0,6.0,5.0,7.0,5.0
434,8.0,6.0,5.0,7.0,5.0
435,8.0,6.0,5.0,8.0,5.0
436,8.0,6.0,5.0,8.0,5.0
437,8.0,6.0,5.0,8.0,5.0
438,8.0,6.0,5.0,8.0,5.0
439,7.0,5.0,5.0,8.0,5.0
440,7.0,5.0,5.0,8.0,5.0
441,7.0,6.0,5.0,8.0,5.0
442,8.0,6.0,5.0,8.0,5.0
443,8.0,5.0,5.0,8.0,5.0
444,8.0,5.0,5.0,8.0,5.0
445,7.0,6.0,5.0,8.0,5.0
446,8.0,6.0,5.0,7.0,5.0
447,8.0,6.0,5.0,7.0,5.0
448,8.0,6.0,5.0,7.0,5.0
449,7.0,6.0,5.0,7.0,5.0
450,7.0,6.0,5.0,7.0,5.0
451,7.0,6.0,5.0,7.0,5.0
452,7.0,6.0,5.0,8.0,5.0
453,7.0,6.0,5.0,8.0,5.0
454,8.0,6.0,5.0,8.0,5.0
455,8.0,6.0,5.0,8.0,5.0
456,8.0,6.0,5.0,8.0,5.0
457,8.0,6.0,5.0,8.0,5.0
458,8.0,6.0,5.0,8.0,5.0
459,8.0,7.0,5.0,8.0,5.0
460,8.0,8.0,5.0,8.0,5.0
461,7.0,7.0,6.0,8.0,6.0
462,7.0,7.0,6.0,8.0,6.0
463,8.0,7.0,6.0,8.0,6.0
464,8.0,6.0,6.0,8.0,6.0
465,8.0,6.0,6.0,8.0,5.0
466,8.0,6.0,6.0,8.0,5.0
467,8.0,6.0,6.0,8.0,5.0
468,8.0,6.0,5.0,8.0,5.0
469,8.0,6.0,5.0,8.0,5.0
470,8.0,6.0,5.0,8.0,5.0
471,8.0,6.0,5.0,8.0,5.0
472,8.0,5.0,5.0,8.0,5.0
473,8.0,6.0,5.0,8.0,5.0
474,8.0,6.0,5.0,8.0,5.0
475,8.0,6.0,5.0,8.0,5.0
476,8.0,6.0,5.0,8.0,5.0
477,8.0,6.0,5.0,8.0,5.0
478,9.0,6.0,5.0,8.0,5.0
479,9.0,6.0,5.0,8.0,5.0
480,8.0,6.0,5.0,8.0,5.0
481,8.0,6.0,6.0,9.0,5.0
482,8.0,6.0,6.0,9.0,5.0
483,8.0,6.0,5.0,8.0,5.0
484,8.0,6.0,5.0,8.0,5.0
485,8.0,5.0,5.0,8.0,5.0
486,8.0,5.0,5.0,8.0,5.0
487,8.0,6.0,5.0,8.0,5.0
488,8.0,6.0,5.0,8.0,5.0
489,8.0,6.0,5.0,8.0,5.0
490,8.0,5.0,5.0,8.0,5.0
491,8.0,5.0,5.0,8.0,5.0
492,8.0,5.0,5.0,8.0,5.0
493,8.0,6.0,5.0,8.0,5.0
494,8.0,6.0,5.0,8.0,5.0
495,8.0,6.0,5.0,8.0,5.0
496,8.0,5.0,5.0,8.0,5.0
497,8.0,6.0,5.0,8.0,5.0
498,8.0,6.0,5.0,8.0,5.0
499,7.0,6.0,5.0,7.0,5.0
500,8.0,6.0,5.0,8.0,5.0
501,8.0,6.0,5.0,8.0,5.0
502,8.0,6.0,5.0,8.0,5.0
503,8.0,6.0,5.0,8.0,5.0
504,8.0,5.0,5.0,8.0,5.0
505,8.0,5.0,5.0,8.0,5.0
506,7.0,5.0,5.0,8.0,5.0
507,8.0,5.0,5.0,8.0,5.0
508,8.0,6.0,5.0,8.0,5.0
509,8.0,6.0,5.0,8.0,5.0
510,8.0,5.0,5.0,8.0,5.0
511,8.0,5.0,5.0,8.0,5.0
512,7.0,5.0,5.0,8.0,5.0
513,7.0,6.0,5.0,8.0,5.0
514,8.0,6.0,5.0,8.0,5.0
515,8.0,6.0,5.0,8.0,5.0
516,8.0,6.0,5.0,8.0,5.0
517,7.0,5.0,5.0,7.0,5.0
518,7.0,5.0,5.0,8.0,5.0
519,7.0,5.0,5.0,8.0,5.0
520,8.0,5.0,5.0,7.0,5.0
521,7.0,5.0,5.0,7.0,5.0
522,7.0,5.0,5.0,7.0,5.0
523,7.0,5.0,5.0,7.0,5.0
524,7.0,5.0,5.0,7.0,5.0
525,7.0,5.0,5.0,7.0,5.0
526,7.0,5.0,5.0,7.0,5.0
527,7.0,6.0,5.0,7.0,5.0
528,7.0,6.0,5.0,7.0,5.0
529,7.0,7.0,5.0,8.0,5.0
530,7.0,5.0,5.0,8.0,5.0
531,7.0,5.0,5.0,8.0,5.0
532,7.0,5.0,5.0,8.0,5.0
533,7.0,5.0,5.0,8.0,5.0
534,7.0,6.0,5.0,8.0,5.0
535,7.0,6.0,5.0,8.0,5.0
536,7.0,6.0,5.0,8.0,5.0
537,7.0,5.0,5.0,7.0,5.0
538,7.0,5.0,5.0,8.0,5.0
539,7.0,5.0,5.0,8.0,5.0
540,7.0,5.0,5.0,8.0,5.0
541,7.0,5.0,5.0,8.0,5.0
542,7.0,5.0,5.0,8.0,5.0
543,7.0,6.0,5.0,8.0,5.0
544,7.0,5.0,5.0,7.0,5.0
545,7.0,5.0,5.0,7.0,5.0
546,7.0,5.0,5.0,8.0,5.0
547,7.0,5.0,5.0,8.0,5.0
548,7.0,5.0,5.0,8.0,5.0
549,7.0,5.0,5.0,7.0,5.0
550,7.0,5.0,5.0,7.0,5.0
551,7.0,5.0,5.0,7.0,5.0
552,7.0,5.0,5.0,7.0,5.0
553,7.0,5.0,5.0,7.0,5.0
554,7.0,5.0,5.0,7.0,5.0
555,7.0,6.0,5.0,7.0,5.0
556,7.0,6.0,5.0,7.0,5.0
557,7.0,5.0,5.0,7.0,5.0
558,7.0,5.0,5.0,7.0,5.0
559,7.0,6.0,5.0,8.0,5.0
560,7.0,7.0,5.0,8.0,5.0
561,7.0,6.0,5.0,8.0,5.0
562,8.0,6.0,5.0,7.0,5.0
563,8.0,6.0,5.0,8.0,5.0
564,7.0,5.0,5.0,8.0,5.0
565,7.0,6.0,5.0,8.0,5.0
566,7.0,6.0,5.0,7.0,5.0
567,7.0,6.0,5.0,7.0,5.0
568,7.0,5.0,5.0,7.0,5.0
569,7.0,6.0,5.0,7.0,5.0
570,7.0,5.0,5.0,7.0,5.0
571,7.0,5.0,5.0,8.0,5.0
572,7.0,5.0,5.0,7.0,5.0
573,7.0,5.0,5.0,7.0,5.0
574,7.0,5.0,5.0,7.0,5.0
575,7.0,5.0,5.0,8.0,5.0
576,7.0,5.0,5.0,8.0,5.0
577,7.0,5.0,5.0,7.0,5.0
578,7.0,6.0,5.0,8.0,5.0
579,7.0,5.0,5.0,7.0,5.0
580,7.0,5.0,5.0,11.0,5.0
581,7.0,5.0,5.0,7.0,5.0
582,7.0,6.0,5.0,8.0,5.0
583,7.0,6.0,5.0,8.0,5.0
584,7.0,5.0,5.0,8.0,5.0
585,7.0,6.0,5.0,8.0,5.0
586,7.0,6.0,5.0,8.0,5.0
587,7.0,6.0,5.0,8.0,5.0
588,7.0,6.0,5.0,8.0,5.0
589,7.0,8.0,5.0,8.0,5.0
590,8.0,6.0,5.0,8.0,5.0
591,7.0,7.0,5.0,7.0,5.0
592,7.0,6.0,5.0,7.0,5.0
593,7.0,6.0,5.0,7.0,5.0
594,7.0,7.0,5.0,7.0,5.0
595,7.0,5.0,5.0,7.0,5.0
596,7.0,5.0,5.0,8.0,5.0
597,7.0,5.0,6.0,8.0,5.0
598,7.0,5.0,5.0,8.0,5.0
599,8.0,5.0,5.0,8.0,5.0
600,7.0,5.0,5.0,8.0,5.0
601,7.0,5.0,5.0,8.0,5.0
602,7.0,5.0,5.0,7.0,5.0
603,7.0,5.0,5.0,7.0,5.0
604,7.0,5.0,5.0,8.0,5.0
605,7.0,5.0,5.0,7.0,5.0
606,7.0,5.0,5.0,8.0,5.0
607,7.0,5.0,5.0,7.0,5.0
608,7.0,5.0,5.0,7.0,5.0
609,7.0,5.0,5.0,8.0,5.0
610,8.0,6.0,5.0,7.0,5.0
611,8.0,6.0,5.0,7.0,5.0
612,8.0,6.0,5.0,8.0,5.0
613,7.0,6.0,5.0,8.0,5.0
