,helicopter_theta,helicopter_psi
270,-0.21076999999999999,1.6407
271,-0.2132,1.6480000000000001
272,-0.20713,1.6318
273,-0.20834,1.635
274,-0.21118,1.6431
275,-0.2132,1.6472
276,-0.2132,1.6472
277,-0.21886999999999998,1.6577
278,-0.21441999999999997,1.652
279,-0.21765,1.6593
280,-0.20673000000000002,1.6326
281,-0.21886999999999998,1.6528
282,-0.21036999999999997,1.6407
283,-0.21604,1.6569
284,-0.20673000000000002,1.6318
285,-0.20834,1.6512
286,-0.21158000000000002,1.6593
287,-0.20995999999999998,1.6569
288,-0.66698,0.81165
289,-0.6694100000000001,0.8270299999999999
290,-0.6702199999999999,0.81813
291,-0.66698,0.8084100000000001
292,-0.66981,0.8237899999999999
293,-0.669,0.82865
294,-0.669,0.82865
295,-0.6686,0.8165100000000001
296,-0.66698,0.81165
297,-0.66819,0.8157
298,-0.6686,0.81408
299,-0.66819,0.81165
300,-0.6694100000000001,0.8254100000000001
301,-0.6661699999999999,0.81408
302,-0.6686,0.8197399999999999
303,-0.66819,0.8165100000000001
304,-0.66819,0.8084100000000001
305,-0.6686,0.81408
306,-0.669,0.82865
307,-0.67062,0.8197399999999999
308,-0.66779,0.80598
309,-0.669,0.82865
310,-0.66981,0.8237899999999999
311,-0.66819,0.8043600000000001
312,-0.66819,0.8043600000000001
313,-0.669,0.8213600000000001
314,-0.6673899999999999,0.8092199999999999
315,-0.669,0.8262200000000001
316,-0.66819,0.8157
317,-0.6702199999999999,0.8213600000000001
318,-0.66819,0.81165
319,-0.6665800000000001,0.8132699999999999
320,-0.6694100000000001,0.8270299999999999
321,-0.66819,0.8076
322,-0.66819,0.8076
323,-0.669,0.82865
324,-0.67103,0.81813
325,-0.66779,0.81084
326,-0.67548,0.8254100000000001
327,-0.6767,0.81893
328,-0.67589,0.8246
329,-0.67305,0.8092199999999999
330,-0.67386,0.80679
331,-0.6734600000000001,0.8051699999999999
332,-0.67589,0.8254100000000001
333,-0.67629,0.8213600000000001
334,-0.67467,0.8302700000000001
335,-0.67305,0.81084
336,-0.67508,0.8278399999999999
337,-0.67467,0.8237899999999999
338,-0.67629,0.82055
339,-0.67629,0.82055
340,-0.67427,0.81084
341,-0.67508,0.8254100000000001
342,-0.67427,0.8124600000000001
343,-0.67548,0.8262200000000001
344,-0.67305,0.8132699999999999
345,-0.67386,0.80679
346,-0.67265,0.8124600000000001
347,-0.67386,0.8084100000000001
348,-0.6734600000000001,0.8157
349,-0.67508,0.8165100000000001
350,-0.67508,0.8270299999999999
351,-0.67629,0.8213600000000001
352,-0.67427,0.81084
353,-0.67589,0.8246
354,-0.67467,0.82865
355,-0.67589,0.8221700000000001
356,-0.6734600000000001,0.8084100000000001
357,-0.6734600000000001,0.8084100000000001
358,-0.67386,0.80598
359,-0.67265,0.81408
360,-0.67629,0.81893
361,-0.67508,0.8270299999999999
362,-0.67265,0.8124600000000001
363,-0.67467,0.82055
364,-0.67386,0.8076
365,-0.67386,0.80679
366,-0.67629,0.82055
367,-0.67386,0.81003
368,-0.67265,0.81408
369,-0.67508,0.82865
370,-0.67467,0.8132699999999999
371,-0.6767,0.81893
372,-0.67467,0.81813
373,-0.67427,0.8124600000000001
374,-0.67589,0.8237899999999999
375,-0.67589,0.8237899999999999
376,-0.67548,0.8262200000000001
377,-0.67305,0.81003
378,-0.67548,0.8262200000000001
379,-0.67386,0.80598
380,-0.6771,0.81408
381,-0.68034,0.81003
382,-0.68155,0.8254100000000001
383,-0.6823600000000001,0.81893
384,-0.6823600000000001,0.82055
385,-0.68277,0.81813
386,-0.67912,0.81084
387,-0.68196,0.8254100000000001
388,-0.68196,0.8246
389,-0.68196,0.8213600000000001
390,-0.67993,0.8092199999999999
391,-0.68196,0.8237899999999999
392,-0.67993,0.8051699999999999
393,-0.68034,0.8132699999999999
394,-0.67912,0.8124600000000001
395,-0.68074,0.8165100000000001
396,-0.68074,0.81489
397,-0.68155,0.8278399999999999
398,-0.67953,0.8084100000000001
399,-0.68155,0.82865
400,-0.67993,0.80598
401,-0.67993,0.80679
402,-0.67993,0.80679
403,-0.67953,0.81003
404,-0.68115,0.8221700000000001
405,-0.68034,0.8173199999999999
406,-0.67912,0.8092199999999999
407,-0.68196,0.8229799999999999
408,-0.67993,0.8076
409,-0.68196,0.8221700000000001
410,-0.67993,0.8076
411,-0.68074,0.8165100000000001
412,-0.68115,0.8270299999999999
413,-0.68155,0.8270299999999999
414,-0.67912,0.81165
415,-0.6823600000000001,0.81813
416,-0.67993,0.80598
417,-0.68277,0.81813
418,-0.67993,0.80598
419,-0.67993,0.80679
420,-0.67993,0.80679
421,-0.67953,0.81003
422,-0.67953,0.81084
423,-0.68115,0.8262200000000001
424,-0.68155,0.8302700000000001
425,-0.68196,0.8237899999999999
426,-0.68074,0.81813
427,-0.67993,0.80598
428,-0.67872,0.81489
429,-0.68277,0.8173199999999999
430,-0.68074,0.8221700000000001
431,-0.6823600000000001,0.8213600000000001
432,-0.67993,0.80679
433,-0.6823600000000001,0.81813
434,-0.68196,0.8237899999999999
435,-0.68155,0.8237899999999999
436,-0.68155,0.8262200000000001
437,-0.67993,0.80598
438,-0.67993,0.80598
439,-0.68115,0.8213600000000001
440,-0.6823600000000001,0.82055
441,-0.67872,0.8124600000000001
442,-0.67993,0.81084
443,-0.68196,0.8237899999999999
444,-0.68155,0.8270299999999999
445,-0.68155,0.8278399999999999
446,-0.68155,0.8237899999999999
447,-0.68034,0.8092199999999999
448,-0.68115,0.8270299999999999
449,-0.67386,0.81408
450,-0.67589,0.8213600000000001
451,-0.67467,0.8165100000000001
452,-0.67265,0.81165
453,-0.67305,0.8092199999999999
454,-0.67508,0.8270299999999999
455,-0.67629,0.8221700000000001
456,-0.67427,0.81893
457,-0.67589,0.8229799999999999
458,-0.67589,0.8246
459,-0.67386,0.80598
460,-0.67427,0.81003
461,-0.6767,0.8173199999999999
462,-0.67427,0.81003
463,-0.67305,0.81003
464,-0.6767,0.81893
465,-0.6767,0.81893
466,-0.67467,0.8157
467,-0.67629,0.82055
468,-0.67265,0.81489
469,-0.67467,0.8165100000000001
470,-0.67386,0.80598
471,-0.67386,0.80679
472,-0.67467,0.8221700000000001
473,-0.6767,0.81893
474,-0.67386,0.81084
475,-0.67629,0.8213600000000001
476,-0.67548,0.8246
477,-0.67548,0.8270299999999999
478,-0.6734600000000001,0.80679
479,-0.67548,0.8278399999999999
480,-0.67427,0.8092199999999999
481,-0.6734600000000001,0.81084
482,-0.67467,0.8165100000000001
483,-0.67467,0.8165100000000001
484,-0.67386,0.81489
485,-0.67305,0.8124600000000001
486,-0.67508,0.8278399999999999
487,-0.67548,0.8254100000000001
488,-0.6734600000000001,0.81003
489,-0.67265,0.8132699999999999
490,-0.67548,0.8237899999999999
491,-0.67629,0.81813
492,-0.6734600000000001,0.8157
493,-0.67427,0.8124600000000001
494,-0.6734600000000001,0.8076
495,-0.67508,0.8278399999999999
496,-0.67224,0.8157
497,-0.67548,0.8270299999999999
498,-0.67548,0.8173199999999999
499,-0.6734600000000001,0.81084
500,-0.67265,0.8157
501,-0.67265,0.8157
502,-0.67265,0.81165
503,-0.67427,0.8157
504,-0.67427,0.8132699999999999
505,-0.67386,0.8084100000000001
506,-0.67386,0.80598
507,-0.6771,0.81813
508,-0.67467,0.81165
509,-0.67265,0.81489
510,-0.67427,0.8124600000000001
511,-0.6734600000000001,0.8084100000000001
512,-0.67427,0.8051699999999999
513,-0.67589,0.8221700000000001
514,-0.67305,0.81003
515,-0.6767,0.8197399999999999
516,-0.6734600000000001,0.8092199999999999
517,-0.67589,0.8254100000000001
518,-0.67629,0.81813
519,-0.67386,0.80679
520,-0.67265,0.81408
521,-0.67305,0.81003
522,-0.67467,0.8221700000000001
523,-0.67548,0.8262200000000001
524,-0.67265,0.81408
525,-0.67589,0.8262200000000001
526,-0.67386,0.8165100000000001
527,-0.6734600000000001,0.8084100000000001
528,-0.6734600000000001,0.8084100000000001
529,-0.67467,0.8173199999999999
530,-0.6767,0.81893
531,-0.67629,0.81893
532,-0.67305,0.8076
533,-0.67386,0.8092199999999999
534,-0.6734600000000001,0.80679
535,-0.6734600000000001,0.8076
536,-0.67305,0.8092199999999999
537,-0.67386,0.8051699999999999
538,-0.67305,0.81084
539,-0.67589,0.8254100000000001
540,-0.67589,0.8229799999999999
541,-0.67548,0.8270299999999999
542,-0.67427,0.81084
543,-0.67508,0.8294600000000001
544,-0.67791,0.80598
545,-0.67872,0.8124600000000001
546,-0.67872,0.8124600000000001
547,-0.6823600000000001,0.82055
548,-0.67912,0.8124600000000001
549,-0.6823600000000001,0.82055
550,-0.67993,0.8051699999999999
551,-0.68115,0.8294600000000001
552,-0.68115,0.82055
553,-0.67872,0.81408
554,-0.67993,0.80598
555,-0.68155,0.82865
556,-0.67912,0.8124600000000001
557,-0.68155,0.8262200000000001
558,-0.68155,0.8254100000000001
559,-0.67953,0.81003
560,-0.67912,0.8132699999999999
561,-0.68155,0.8173199999999999
562,-0.67872,0.8132699999999999
563,-0.68115,0.8278399999999999
564,-0.68115,0.8278399999999999
565,-0.68115,0.8262200000000001
566,-0.68155,0.8254100000000001
567,-0.67912,0.8092199999999999
568,-0.67953,0.80679
569,-0.6823600000000001,0.81893
570,-0.68074,0.8221700000000001
571,-0.68034,0.8124600000000001
572,-0.68074,0.81893
573,-0.67872,0.8157
574,-0.68074,0.81003
575,-0.6823600000000001,0.8221700000000001
576,-0.68155,0.8270299999999999
577,-0.68074,0.8294600000000001
578,-0.68196,0.8221700000000001
579,-0.67872,0.81489
580,-0.67993,0.80679
581,-0.67953,0.81165
582,-0.68196,0.8237899999999999
583,-0.68074,0.81408
584,-0.68074,0.8165100000000001
585,-0.67953,0.81003
586,-0.68155,0.8246
587,-0.67872,0.81489
588,-0.67872,0.8157
589,-0.68115,0.82865
590,-0.67872,0.81489
591,-0.67872,0.81489
592,-0.67953,0.8076
593,-0.6823600000000001,0.8173199999999999
594,-0.68115,0.82865
595,-0.6767,0.8237899999999999
596,-0.67427,0.8165100000000001
597,-0.67548,0.8254100000000001
598,-0.6767,0.8173199999999999
599,-0.67508,0.8237899999999999
600,-0.67467,0.8213600000000001
601,-0.67589,0.8221700000000001
602,-0.66819,0.8084100000000001
603,-0.6665800000000001,0.81489
604,-0.66779,0.80679
605,-0.6665800000000001,0.8132699999999999
606,-0.669,0.82865
607,-0.66374,0.8173199999999999
608,-0.6613100000000001,0.8092199999999999
609,-0.6613100000000001,0.8092199999999999
610,-0.6621199999999999,0.8173199999999999
611,-0.66172,0.8157
612,-0.6625300000000001,0.8294600000000001
613,-0.65484,0.81489
614,-0.65605,0.8165100000000001
615,-0.65727,0.8165100000000001
616,-0.65767,0.8254100000000001
617,-0.65646,0.8173199999999999
618,-0.64957,0.8076
619,-0.64755,0.81489
620,-0.6516,0.8237899999999999
621,-0.63864,0.82055
622,-0.64067,0.8197399999999999
623,-0.63784,0.81489
624,-0.63864,0.8254100000000001
625,-0.63136,0.8084100000000001
626,-0.63095,0.8051699999999999
627,-0.63095,0.8051699999999999
628,-0.63217,0.8213600000000001
629,-0.62852,0.81813
630,-0.62529,0.81003
631,-0.62731,0.8254100000000001
632,-0.62205,0.82865
633,-0.6228600000000001,0.81893
634,-0.61719,0.81489
635,-0.61638,0.82055
636,-0.61598,0.8229799999999999
637,-0.61233,0.8213600000000001
638,-0.60869,0.8270299999999999
639,-0.60626,0.80679
640,-0.61112,0.8173199999999999
641,-0.60343,0.8221700000000001
642,-0.5985699999999999,0.8132699999999999
643,-0.59736,0.8270299999999999
644,-0.59897,0.81813
645,-0.59128,0.8051699999999999
646,-0.58643,0.8092199999999999
647,-0.58521,0.8270299999999999
648,-0.57995,0.81165
649,-0.58157,0.8051699999999999
650,-0.57995,0.8237899999999999
651,-0.57509,0.8084100000000001
652,-0.56821,0.81165
653,-0.56781,0.8124600000000001
654,-0.56781,0.8124600000000001
655,-0.57226,0.82865
656,-0.56335,0.8092199999999999
657,-0.56376,0.8076
658,-0.56376,0.8051699999999999
659,-0.55647,0.8092199999999999
660,-0.5584899999999999,0.8157
661,-0.55445,0.82865
662,-0.55607,0.8213600000000001
663,-0.55323,0.8237899999999999
664,-0.55242,0.8221700000000001
665,-0.5471600000000001,0.8221700000000001
666,-0.53866,0.8132699999999999
667,-0.53745,0.8084100000000001
668,-0.53785,0.8076
669,-0.5261100000000001,0.81408
670,-0.53178,0.8221700000000001
671,-0.5253,0.8262200000000001
672,-0.5253,0.8262200000000001
673,-0.51842,0.81084
674,-0.52085,0.80679
675,-0.51599,0.81084
676,-0.5172100000000001,0.8270299999999999
677,-0.51235,0.81489
678,-0.51073,0.8229799999999999
679,-0.51032,0.8246
680,-0.5022300000000001,0.81084
681,-0.5030399999999999,0.81003
682,-0.50061,0.81003
683,-0.49938999999999995,0.8294600000000001
684,-0.49899,0.8294600000000001
685,-0.49575,0.8262200000000001
686,-0.4917,0.8197399999999999
687,-0.49211000000000005,0.8221700000000001
688,-0.4917,0.81813
689,-0.48644,0.8246
690,-0.48644,0.8246
691,-0.48118,0.8246
692,-0.4828,0.8165100000000001
693,-0.4832,0.8237899999999999
694,-0.47308,0.81003
695,-0.47713,0.8229799999999999
696,-0.46781999999999996,0.81813
697,-0.46376999999999996,0.8084100000000001
698,-0.47268000000000004,0.81893
699,-0.46821999999999997,0.82055
700,-0.46661,0.81893
701,-0.46175,0.8237899999999999
702,-0.45932,0.8237899999999999
703,-0.45446000000000003,0.8157
704,-0.46053,0.81893
705,-0.44718,0.80598
706,-0.44758000000000003,0.8092199999999999
707,-0.45203000000000004,0.8270299999999999
708,-0.45406,0.82055
709,-0.44232,0.8173199999999999
710,-0.44515,0.8262200000000001
711,-0.43665,0.81165
712,-0.43948000000000004,0.8270299999999999
713,-0.43867,0.8278399999999999
714,-0.43665,0.81893
715,-0.43706000000000006,0.8132699999999999
716,-0.42815,0.8051699999999999
717,-0.42815,0.8051699999999999
718,-0.43503000000000003,0.8221700000000001
719,-0.41923999999999995,0.81408
720,-0.4241,0.81893
721,-0.41601000000000005,0.8043600000000001
722,-0.4156,0.80598
723,-0.41398,0.8229799999999999
724,-0.41439,0.82865
725,-0.40912,0.8051699999999999
726,-0.40871999999999997,0.81489
727,-0.40346,0.80598
728,-0.40305,0.81084
729,-0.40912,0.8270299999999999
730,-0.40508,0.8124600000000001
731,-0.40184000000000003,0.8092199999999999
732,-0.39941,0.8124600000000001
733,-0.39981,0.8132699999999999
734,-0.40346,0.8157
735,-0.40346,0.8157
736,-0.39576999999999996,0.8092199999999999
737,-0.40184000000000003,0.8157
738,-0.39293,0.8051699999999999
739,-0.39334,0.8165100000000001
740,-0.39819,0.8237899999999999
741,-0.38969000000000004,0.8084100000000001
742,-0.3905,0.80679
743,-0.39496,0.8237899999999999
744,-0.38565,0.8092199999999999
745,-0.38806999999999997,0.8221700000000001
746,-0.38484,0.81084
747,-0.39211999999999997,0.8237899999999999
748,-0.3905,0.8270299999999999
749,-0.38969000000000004,0.82865
750,-0.38565,0.8092199999999999
751,-0.38443,0.8278399999999999
752,-0.38605,0.8157
753,-0.38605,0.8157
754,-0.382,0.8229799999999999
755,-0.3816,0.8132699999999999
756,-0.3816,0.8132699999999999
757,-0.37998000000000004,0.81165
758,-0.38281,0.81408
759,-0.3816,0.8124600000000001
760,-0.37836,0.8051699999999999
761,-0.37876,0.80598
762,-0.38605,0.8229799999999999
763,-0.37836,0.8051699999999999
764,-0.37715,0.8084100000000001
765,-0.37956999999999996,0.8084100000000001
766,-0.38322,0.8278399999999999
767,-0.382,0.81893
768,-0.37431,0.81165
769,-0.37431,0.81165
770,-0.37188000000000004,0.80679
771,-0.3816,0.8165100000000001
772,-0.37917,0.8254100000000001
773,-0.37106999999999996,0.8076
774,-0.37390999999999996,0.81165
775,-0.37229,0.80598
776,-0.37674,0.8302700000000001
777,-0.3816,0.8173199999999999
778,-0.37512,0.81813
779,-0.37269,0.8051699999999999
780,-0.37269,0.8051699999999999
781,-0.37634,0.8132699999999999
782,-0.37472,0.81489
783,-0.38240999999999997,0.8173199999999999
784,-0.37836,0.8270299999999999
785,-0.37634,0.8262200000000001
786,-0.37188000000000004,0.80598
787,-0.37148000000000003,0.8076
788,-0.37593000000000004,0.8254100000000001
789,-0.38240999999999997,0.81893
790,-0.38281,0.8132699999999999
791,-0.38848,0.81813
792,-0.38361999999999996,0.82865
793,-0.37715,0.8084100000000001
794,-0.38281,0.8132699999999999
795,-0.38565,0.8254100000000001
796,-0.38240999999999997,0.81408
797,-0.38403000000000004,0.81489
798,-0.38403000000000004,0.81489
799,-0.38727,0.8278399999999999
800,-0.3905,0.81489
801,-0.38727,0.8124600000000001
802,-0.39415,0.81893
803,-0.38727,0.8157
804,-0.39091,0.81408
805,-0.38361999999999996,0.81003
806,-0.39131,0.8246
807,-0.38969000000000004,0.8237899999999999
808,-0.39941,0.8197399999999999
809,-0.39899999999999997,0.8213600000000001
810,-0.39131,0.80598
811,-0.39293,0.81489
812,-0.39496,0.8132699999999999
813,-0.38929,0.81003
814,-0.39658000000000004,0.80679
815,-0.40103,0.8092199999999999
816,-0.40103,0.8092199999999999
817,-0.40224,0.8084100000000001
818,-0.41115,0.8213600000000001
819,-0.41155,0.82055
820,-0.4075,0.8294600000000001
821,-0.40426999999999996,0.81165
822,-0.41034,0.8237899999999999
823,-0.40993,0.80679
824,-0.40912,0.80598
825,-0.41641000000000006,0.8229799999999999
826,-0.41073999999999994,0.8124600000000001
827,-0.41722,0.8213600000000001
828,-0.41034,0.81165
829,-0.41803,0.8165100000000001
830,-0.41722,0.81084
831,-0.41601000000000005,0.8084100000000001
832,-0.41478999999999994,0.81003
833,-0.42328999999999994,0.8213600000000001
834,-0.42733999999999994,0.8237899999999999
835,-0.43098000000000003,0.8173199999999999
836,-0.42653,0.81489
837,-0.42451000000000005,0.8221700000000001
838,-0.43017,0.8197399999999999
839,-0.42896000000000006,0.81003
840,-0.43583999999999995,0.8197399999999999
841,-0.42896000000000006,0.81003
842,-0.43908,0.8157
843,-0.43908,0.8157
844,-0.43382,0.80598
845,-0.43382,0.80598
846,-0.4326,0.81003
847,-0.43988999999999995,0.8246
848,-0.4411,0.81489
849,-0.43948000000000004,0.8084100000000001
850,-0.44798000000000004,0.81813
851,-0.44718,0.8229799999999999
852,-0.44191,0.81813
853,-0.45325,0.8221700000000001
854,-0.45446000000000003,0.81893
855,-0.45203000000000004,0.8157
856,-0.45243999999999995,0.8237899999999999
857,-0.45203000000000004,0.8165100000000001
858,-0.44433999999999996,0.81003
859,-0.4577,0.8165100000000001
860,-0.45283999999999996,0.8051699999999999
861,-0.45283999999999996,0.8051699999999999
862,-0.45406,0.8124600000000001
863,-0.4573,0.8278399999999999
864,-0.45851000000000003,0.80679
865,-0.46701000000000004,0.8173199999999999
866,-0.46418000000000004,0.81408
867,-0.46821999999999997,0.82865
868,-0.47065,0.8237899999999999
869,-0.46821999999999997,0.8294600000000001
870,-0.46742,0.8246
871,-0.46538999999999997,0.80679
872,-0.46943999999999997,0.81084
873,-0.47308,0.81893
874,-0.46943999999999997,0.81003
875,-0.47713,0.8221700000000001
876,-0.47915,0.81813
877,-0.48036999999999996,0.8270299999999999
878,-0.47996000000000005,0.81408
879,-0.47996000000000005,0.81408
880,-0.47875,0.81408
881,-0.47713,0.8132699999999999
882,-0.47753999999999996,0.8043600000000001
883,-0.48441999999999996,0.8173199999999999
884,-0.47631999999999997,0.8076
885,-0.48886999999999997,0.8237899999999999
886,-0.48239,0.8084100000000001
887,-0.48118,0.81084
888,-0.48401000000000005,0.80679
889,-0.48239,0.8084100000000001
890,-0.49656000000000006,0.81893
891,-0.49454,0.8254100000000001
892,-0.49211000000000005,0.81489
893,-0.49494,0.8246
894,-0.48968,0.8051699999999999
895,-0.49656000000000006,0.8197399999999999
896,-0.49373,0.81084
897,-0.50061,0.8165100000000001
898,-0.50061,0.8246
899,-0.5018199999999999,0.8213600000000001
900,-0.5002,0.8254100000000001
