,traffic-nj511-minutes-route_46_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_upper_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_lower_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_upper_level
172,6.0,13.0,6.0,8.0,11.0
173,6.0,14.0,6.0,8.0,11.0
174,6.0,13.0,6.0,8.0,10.0
175,7.0,13.0,6.0,9.0,10.0
176,6.0,12.0,6.0,9.0,9.0
177,7.0,11.0,6.0,9.0,8.0
178,7.0,13.0,7.0,9.0,10.0
179,7.0,12.0,7.0,9.0,9.0
180,7.0,11.0,7.0,9.0,8.0
181,7.0,10.0,7.0,9.0,7.0
182,7.0,8.0,6.0,9.0,6.0
183,7.0,8.0,7.0,9.0,6.0
184,7.0,8.0,6.0,9.0,5.0
185,7.0,8.0,6.0,9.0,5.0
186,7.0,8.0,6.0,9.0,5.0
187,6.0,8.0,6.0,9.0,5.0
188,6.0,8.0,5.0,9.0,6.0
189,6.0,8.0,5.0,8.0,5.0
190,6.0,8.0,5.0,8.0,5.0
191,6.0,8.0,5.0,8.0,6.0
192,5.0,9.0,5.0,8.0,6.0
193,6.0,9.0,5.0,8.0,6.0
194,6.0,9.0,5.0,8.0,7.0
195,5.0,9.0,5.0,7.0,7.0
196,5.0,10.0,5.0,7.0,7.0
197,5.0,10.0,5.0,7.0,8.0
198,5.0,11.0,5.0,7.0,8.0
199,5.0,11.0,5.0,7.0,9.0
200,5.0,12.0,5.0,7.0,9.0
201,5.0,12.0,5.0,7.0,9.0
202,5.0,12.0,5.0,7.0,9.0
203,5.0,12.0,5.0,7.0,9.0
204,5.0,12.0,5.0,7.0,9.0
205,5.0,12.0,5.0,7.0,9.0
206,5.0,12.0,5.0,7.0,9.0
207,5.0,12.0,5.0,7.0,10.0
208,5.0,14.0,5.0,7.0,12.0
209,5.0,15.0,5.0,7.0,12.0
210,5.0,15.0,5.0,7.0,14.0
211,5.0,16.0,5.0,7.0,14.0
212,5.0,26.0,5.0,7.0,20.0
213,5.0,26.0,7.0,11.0,21.0
214,8.0,25.0,7.0,12.0,21.0
215,12.0,20.0,7.0,16.0,17.0
216,7.0,16.0,5.0,11.0,13.0
217,6.0,13.0,5.0,8.0,10.0
218,5.0,9.0,5.0,8.0,6.0
219,5.0,8.0,5.0,7.0,6.0
220,5.0,7.0,5.0,7.0,5.0
221,5.0,7.0,5.0,7.0,5.0
222,5.0,7.0,5.0,7.0,5.0
223,6.0,7.0,5.0,7.0,5.0
224,6.0,7.0,5.0,7.0,5.0
225,5.0,7.0,5.0,7.0,5.0
226,5.0,7.0,5.0,7.0,5.0
227,6.0,7.0,5.0,7.0,5.0
228,6.0,7.0,5.0,7.0,5.0
229,5.0,7.0,5.0,7.0,5.0
230,5.0,7.0,5.0,7.0,5.0
231,5.0,7.0,5.0,7.0,5.0
232,6.0,7.0,5.0,7.0,5.0
233,6.0,7.0,5.0,7.0,5.0
234,6.0,7.0,5.0,7.0,5.0
235,5.0,7.0,5.0,7.0,5.0
236,5.0,7.0,5.0,7.0,5.0
237,6.0,7.0,5.0,7.0,5.0
238,6.0,7.0,5.0,7.0,5.0
239,5.0,7.0,5.0,7.0,5.0
240,5.0,7.0,5.0,7.0,5.0
241,5.0,7.0,5.0,7.0,5.0
242,5.0,7.0,5.0,7.0,5.0
243,6.0,7.0,5.0,7.0,5.0
244,6.0,7.0,5.0,7.0,5.0
245,5.0,7.0,5.0,7.0,5.0
246,5.0,7.0,5.0,7.0,5.0
247,5.0,7.0,5.0,7.0,5.0
248,5.0,7.0,5.0,7.0,5.0
249,6.0,7.0,5.0,7.0,5.0
250,5.0,7.0,5.0,7.0,5.0
251,6.0,8.0,5.0,7.0,5.0
252,6.0,7.0,5.0,8.0,5.0
253,6.0,7.0,5.0,7.0,5.0
254,5.0,7.0,5.0,7.0,5.0
255,5.0,7.0,5.0,7.0,5.0
256,5.0,7.0,5.0,7.0,5.0
257,5.0,7.0,5.0,7.0,5.0
258,5.0,7.0,5.0,7.0,5.0
259,5.0,7.0,5.0,7.0,5.0
260,5.0,7.0,5.0,7.0,5.0
261,5.0,7.0,5.0,7.0,5.0
262,5.0,7.0,5.0,7.0,5.0
263,5.0,7.0,5.0,7.0,5.0
264,5.0,7.0,5.0,7.0,5.0
265,5.0,7.0,5.0,7.0,5.0
266,6.0,7.0,5.0,7.0,5.0
267,6.0,7.0,5.0,7.0,5.0
268,6.0,7.0,5.0,7.0,5.0
269,5.0,7.0,5.0,7.0,5.0
270,5.0,7.0,5.0,7.0,5.0
271,6.0,7.0,5.0,7.0,5.0
272,5.0,7.0,5.0,7.0,5.0
273,5.0,7.0,5.0,7.0,5.0
274,5.0,7.0,5.0,8.0,5.0
275,5.0,7.0,5.0,8.0,5.0
276,5.0,7.0,5.0,7.0,5.0
277,6.0,7.0,5.0,7.0,5.0
278,5.0,7.0,5.0,7.0,5.0
279,6.0,7.0,5.0,8.0,5.0
280,6.0,7.0,5.0,8.0,5.0
281,5.0,7.0,5.0,8.0,5.0
282,6.0,7.0,5.0,7.0,5.0
283,6.0,7.0,5.0,7.0,5.0
284,6.0,7.0,5.0,7.0,5.0
285,6.0,7.0,5.0,8.0,5.0
286,5.0,7.0,5.0,8.0,5.0
287,6.0,7.0,5.0,8.0,5.0
288,6.0,7.0,5.0,8.0,5.0
289,6.0,7.0,5.0,8.0,5.0
290,6.0,7.0,5.0,8.0,5.0
291,6.0,7.0,5.0,8.0,5.0
292,5.0,7.0,5.0,7.0,5.0
293,5.0,7.0,5.0,7.0,5.0
294,5.0,7.0,5.0,7.0,5.0
295,5.0,7.0,5.0,7.0,5.0
296,5.0,7.0,5.0,7.0,5.0
297,5.0,7.0,5.0,7.0,5.0
298,5.0,7.0,5.0,7.0,5.0
299,5.0,7.0,5.0,7.0,5.0
300,6.0,7.0,5.0,7.0,5.0
301,6.0,7.0,5.0,7.0,5.0
302,5.0,7.0,5.0,7.0,5.0
303,5.0,7.0,5.0,7.0,5.0
304,6.0,7.0,5.0,8.0,5.0
305,6.0,7.0,5.0,8.0,5.0
306,6.0,7.0,5.0,8.0,5.0
307,6.0,7.0,5.0,7.0,5.0
308,6.0,7.0,5.0,7.0,5.0
309,6.0,7.0,5.0,7.0,5.0
310,6.0,7.0,5.0,7.0,5.0
311,6.0,7.0,5.0,7.0,5.0
312,6.0,7.0,5.0,7.0,5.0
313,6.0,7.0,5.0,7.0,5.0
314,6.0,7.0,5.0,7.0,5.0
315,6.0,7.0,5.0,7.0,5.0
316,5.0,7.0,5.0,7.0,5.0
317,6.0,7.0,5.0,7.0,5.0
318,6.0,7.0,5.0,7.0,5.0
319,6.0,7.0,5.0,7.0,5.0
320,5.0,7.0,5.0,7.0,5.0
321,6.0,7.0,5.0,7.0,5.0
322,6.0,7.0,5.0,7.0,5.0
323,6.0,7.0,5.0,8.0,5.0
324,5.0,7.0,5.0,8.0,5.0
325,5.0,7.0,5.0,7.0,5.0
326,5.0,7.0,5.0,7.0,5.0
327,5.0,7.0,5.0,7.0,5.0
328,6.0,7.0,5.0,7.0,5.0
329,6.0,7.0,5.0,7.0,5.0
330,5.0,7.0,5.0,7.0,5.0
331,5.0,7.0,5.0,7.0,5.0
332,6.0,7.0,5.0,7.0,5.0
333,5.0,7.0,5.0,7.0,5.0
334,5.0,7.0,5.0,7.0,5.0
335,5.0,7.0,5.0,7.0,5.0
336,5.0,7.0,5.0,7.0,5.0
337,5.0,8.0,5.0,7.0,5.0
338,5.0,7.0,5.0,7.0,5.0
339,5.0,7.0,5.0,7.0,5.0
340,6.0,7.0,5.0,7.0,5.0
341,5.0,7.0,5.0,7.0,5.0
342,5.0,7.0,5.0,8.0,5.0
343,6.0,7.0,5.0,8.0,5.0
344,6.0,7.0,5.0,7.0,5.0
345,6.0,7.0,5.0,7.0,5.0
346,5.0,7.0,5.0,7.0,5.0
347,5.0,7.0,5.0,7.0,5.0
348,6.0,7.0,5.0,7.0,5.0
349,6.0,7.0,5.0,7.0,5.0
350,6.0,7.0,5.0,7.0,5.0
351,5.0,8.0,5.0,7.0,5.0
352,5.0,8.0,5.0,7.0,5.0
353,6.0,7.0,5.0,8.0,5.0
354,6.0,8.0,5.0,8.0,5.0
355,6.0,8.0,5.0,7.0,5.0
356,6.0,8.0,5.0,7.0,5.0
357,6.0,7.0,5.0,7.0,5.0
358,5.0,7.0,5.0,7.0,5.0
359,5.0,7.0,5.0,7.0,5.0
360,5.0,7.0,5.0,7.0,5.0
361,5.0,7.0,5.0,7.0,5.0
362,5.0,7.0,5.0,7.0,5.0
363,5.0,7.0,5.0,7.0,5.0
364,5.0,7.0,5.0,7.0,5.0
365,5.0,7.0,5.0,7.0,5.0
366,5.0,7.0,5.0,7.0,5.0
367,5.0,7.0,5.0,7.0,5.0
368,5.0,8.0,5.0,7.0,5.0
369,5.0,8.0,5.0,7.0,5.0
370,5.0,8.0,5.0,7.0,5.0
371,6.0,8.0,5.0,8.0,5.0
372,6.0,8.0,5.0,8.0,5.0
373,6.0,8.0,5.0,8.0,5.0
374,6.0,8.0,5.0,8.0,5.0
375,5.0,8.0,5.0,8.0,5.0
376,6.0,8.0,5.0,8.0,5.0
377,6.0,8.0,5.0,8.0,6.0
378,6.0,9.0,5.0,8.0,6.0
379,6.0,9.0,5.0,8.0,6.0
380,6.0,10.0,5.0,8.0,7.0
381,6.0,10.0,5.0,9.0,7.0
382,6.0,11.0,5.0,9.0,7.0
383,6.0,11.0,5.0,9.0,7.0
384,6.0,11.0,5.0,9.0,7.0
385,6.0,11.0,5.0,9.0,7.0
386,6.0,11.0,5.0,9.0,7.0
387,6.0,11.0,5.0,9.0,7.0
388,6.0,12.0,5.0,9.0,8.0
389,6.0,12.0,5.0,10.0,8.0
390,6.0,13.0,5.0,10.0,9.0
391,6.0,16.0,5.0,10.0,10.0
392,6.0,15.0,5.0,11.0,9.0
393,6.0,14.0,5.0,11.0,9.0
394,6.0,13.0,5.0,10.0,9.0
395,6.0,11.0,5.0,10.0,7.0
396,6.0,9.0,6.0,9.0,6.0
397,7.0,8.0,6.0,9.0,5.0
398,7.0,8.0,7.0,9.0,5.0
399,7.0,8.0,7.0,10.0,5.0
400,7.0,8.0,7.0,10.0,5.0
401,7.0,8.0,6.0,10.0,5.0
402,7.0,8.0,6.0,10.0,5.0
403,7.0,8.0,6.0,9.0,5.0
404,6.0,8.0,5.0,9.0,5.0
405,6.0,9.0,5.0,9.0,5.0
406,6.0,9.0,5.0,8.0,6.0
407,6.0,9.0,5.0,8.0,5.0
408,6.0,8.0,5.0,8.0,5.0
409,6.0,9.0,5.0,9.0,5.0
410,6.0,9.0,5.0,9.0,5.0
411,6.0,8.0,5.0,9.0,5.0
412,6.0,8.0,5.0,9.0,5.0
413,6.0,8.0,5.0,8.0,5.0
414,6.0,8.0,5.0,8.0,5.0
415,6.0,8.0,5.0,8.0,5.0
416,5.0,8.0,5.0,8.0,5.0
417,6.0,8.0,5.0,8.0,5.0
418,6.0,8.0,5.0,8.0,5.0
419,5.0,8.0,5.0,8.0,5.0
420,5.0,8.0,5.0,8.0,5.0
421,5.0,7.0,5.0,8.0,5.0
422,5.0,8.0,5.0,8.0,5.0
423,5.0,8.0,5.0,8.0,5.0
424,6.0,8.0,5.0,8.0,5.0
425,6.0,8.0,5.0,8.0,5.0
426,6.0,8.0,5.0,8.0,5.0
427,5.0,8.0,5.0,8.0,5.0
428,6.0,8.0,5.0,8.0,5.0
429,6.0,8.0,5.0,8.0,5.0
430,6.0,8.0,5.0,8.0,5.0
431,6.0,8.0,5.0,8.0,5.0
432,6.0,8.0,5.0,8.0,5.0
433,6.0,8.0,5.0,8.0,5.0
434,6.0,8.0,5.0,8.0,5.0
435,6.0,8.0,5.0,8.0,5.0
436,6.0,8.0,5.0,8.0,5.0
437,6.0,8.0,5.0,8.0,5.0
438,6.0,8.0,5.0,8.0,5.0
439,6.0,8.0,5.0,8.0,5.0
440,6.0,8.0,5.0,8.0,5.0
441,6.0,8.0,5.0,8.0,5.0
442,6.0,8.0,5.0,8.0,5.0
443,6.0,8.0,5.0,8.0,5.0
444,6.0,8.0,5.0,8.0,6.0
445,6.0,8.0,5.0,8.0,5.0
446,6.0,8.0,5.0,8.0,5.0
447,6.0,8.0,5.0,8.0,5.0
448,6.0,8.0,5.0,8.0,5.0
449,6.0,8.0,5.0,8.0,5.0
450,6.0,8.0,5.0,8.0,5.0
451,6.0,8.0,5.0,8.0,5.0
452,6.0,8.0,5.0,8.0,5.0
453,6.0,8.0,5.0,8.0,5.0
454,6.0,8.0,5.0,8.0,5.0
455,6.0,8.0,5.0,8.0,5.0
456,6.0,8.0,5.0,8.0,5.0
457,6.0,8.0,5.0,8.0,5.0
458,6.0,8.0,5.0,8.0,5.0
459,5.0,8.0,5.0,8.0,5.0
460,5.0,8.0,5.0,8.0,5.0
461,5.0,8.0,5.0,8.0,5.0
462,6.0,8.0,5.0,8.0,5.0
463,6.0,7.0,5.0,8.0,5.0
464,6.0,7.0,5.0,8.0,5.0
465,6.0,7.0,5.0,8.0,5.0
466,6.0,8.0,5.0,8.0,5.0
467,5.0,8.0,5.0,8.0,5.0
468,5.0,8.0,5.0,8.0,5.0
469,5.0,8.0,5.0,8.0,5.0
470,6.0,8.0,5.0,8.0,5.0
471,6.0,8.0,5.0,8.0,5.0
472,6.0,8.0,5.0,8.0,5.0
473,6.0,8.0,5.0,8.0,5.0
474,6.0,8.0,5.0,8.0,5.0
475,6.0,8.0,5.0,9.0,5.0
476,6.0,8.0,5.0,8.0,5.0
477,5.0,8.0,5.0,8.0,5.0
478,6.0,8.0,5.0,8.0,5.0
479,6.0,8.0,5.0,8.0,5.0
480,5.0,8.0,5.0,8.0,5.0
481,6.0,8.0,5.0,8.0,5.0
482,6.0,8.0,5.0,8.0,5.0
483,6.0,7.0,5.0,7.0,5.0
484,6.0,7.0,5.0,7.0,5.0
485,6.0,7.0,5.0,8.0,5.0
486,6.0,7.0,5.0,9.0,5.0
487,6.0,7.0,5.0,9.0,5.0
488,6.0,7.0,5.0,9.0,5.0
489,6.0,8.0,5.0,8.0,5.0
490,6.0,7.0,5.0,8.0,5.0
491,6.0,7.0,5.0,8.0,5.0
492,5.0,7.0,5.0,8.0,5.0
493,5.0,7.0,5.0,7.0,5.0
494,5.0,7.0,5.0,7.0,5.0
495,5.0,7.0,5.0,7.0,5.0
496,5.0,8.0,5.0,7.0,5.0
497,5.0,8.0,5.0,7.0,5.0
498,5.0,7.0,5.0,7.0,5.0
499,6.0,7.0,5.0,7.0,5.0
500,6.0,7.0,5.0,8.0,5.0
501,6.0,7.0,5.0,7.0,5.0
502,5.0,7.0,5.0,7.0,5.0
503,5.0,7.0,5.0,7.0,5.0
504,5.0,7.0,5.0,7.0,5.0
505,6.0,7.0,5.0,8.0,5.0
506,6.0,7.0,5.0,7.0,5.0
507,6.0,7.0,5.0,7.0,5.0
508,5.0,7.0,5.0,7.0,5.0
509,6.0,7.0,5.0,7.0,5.0
510,6.0,7.0,5.0,8.0,5.0
511,6.0,7.0,5.0,8.0,5.0
512,5.0,7.0,5.0,8.0,5.0
513,5.0,7.0,5.0,8.0,5.0
514,5.0,7.0,5.0,8.0,5.0
515,5.0,7.0,5.0,7.0,5.0
516,5.0,7.0,5.0,7.0,5.0
517,5.0,7.0,5.0,7.0,5.0
518,5.0,7.0,5.0,7.0,5.0
519,5.0,7.0,5.0,7.0,5.0
520,5.0,7.0,5.0,7.0,5.0
521,5.0,7.0,5.0,8.0,5.0
522,5.0,7.0,5.0,8.0,5.0
523,5.0,7.0,5.0,8.0,5.0
524,5.0,7.0,5.0,7.0,5.0
525,5.0,7.0,5.0,7.0,5.0
526,5.0,7.0,5.0,7.0,5.0
527,5.0,7.0,5.0,7.0,5.0
528,5.0,7.0,5.0,7.0,5.0
529,5.0,7.0,5.0,7.0,5.0
530,5.0,7.0,5.0,7.0,5.0
531,5.0,7.0,5.0,7.0,5.0
532,5.0,7.0,5.0,7.0,5.0
533,5.0,7.0,5.0,7.0,5.0
534,5.0,7.0,5.0,7.0,5.0
535,5.0,7.0,5.0,7.0,5.0
536,5.0,7.0,5.0,7.0,5.0
537,5.0,7.0,5.0,7.0,5.0
538,5.0,7.0,5.0,7.0,5.0
539,6.0,7.0,5.0,7.0,5.0
540,6.0,7.0,5.0,7.0,5.0
541,5.0,7.0,5.0,7.0,5.0
542,5.0,7.0,5.0,7.0,5.0
543,5.0,7.0,5.0,7.0,5.0
544,5.0,7.0,5.0,7.0,5.0
545,5.0,7.0,5.0,7.0,5.0
546,5.0,7.0,5.0,7.0,5.0
547,5.0,7.0,5.0,7.0,5.0
548,5.0,7.0,5.0,7.0,5.0
549,5.0,7.0,5.0,7.0,5.0
550,5.0,7.0,5.0,7.0,5.0
551,5.0,7.0,5.0,7.0,5.0
552,5.0,7.0,5.0,7.0,5.0
553,5.0,7.0,5.0,7.0,5.0
554,5.0,7.0,5.0,7.0,5.0
555,5.0,7.0,5.0,7.0,5.0
556,5.0,7.0,5.0,7.0,5.0
557,5.0,7.0,5.0,7.0,5.0
558,5.0,7.0,5.0,7.0,5.0
559,5.0,7.0,5.0,7.0,5.0
560,5.0,7.0,5.0,7.0,5.0
561,5.0,7.0,5.0,7.0,5.0
562,5.0,7.0,5.0,7.0,5.0
563,6.0,7.0,5.0,7.0,5.0
564,6.0,7.0,5.0,7.0,5.0
565,6.0,7.0,5.0,7.0,5.0
566,5.0,7.0,5.0,7.0,5.0
567,5.0,7.0,5.0,7.0,5.0
568,5.0,7.0,5.0,7.0,5.0
569,5.0,7.0,5.0,7.0,5.0
570,5.0,7.0,5.0,7.0,5.0
571,5.0,7.0,5.0,7.0,5.0
572,5.0,7.0,5.0,7.0,5.0
573,5.0,7.0,5.0,7.0,5.0
574,5.0,7.0,5.0,7.0,5.0
575,5.0,7.0,5.0,7.0,5.0
576,5.0,7.0,5.0,7.0,5.0
577,5.0,7.0,5.0,7.0,5.0
578,5.0,7.0,5.0,7.0,5.0
579,5.0,7.0,5.0,7.0,5.0
580,5.0,7.0,5.0,7.0,5.0
581,5.0,7.0,5.0,7.0,5.0
582,5.0,7.0,5.0,7.0,5.0
583,5.0,7.0,5.0,7.0,5.0
584,5.0,7.0,5.0,7.0,5.0
585,5.0,7.0,5.0,7.0,5.0
586,5.0,7.0,5.0,7.0,5.0
587,6.0,7.0,5.0,7.0,5.0
588,6.0,7.0,5.0,7.0,5.0
589,5.0,7.0,5.0,7.0,5.0
590,6.0,7.0,5.0,7.0,5.0
591,5.0,7.0,5.0,7.0,5.0
592,5.0,7.0,5.0,7.0,5.0
593,6.0,7.0,5.0,8.0,5.0
594,5.0,7.0,5.0,7.0,5.0
595,5.0,7.0,5.0,7.0,5.0
596,5.0,7.0,5.0,7.0,5.0
597,5.0,7.0,5.0,7.0,5.0
598,5.0,7.0,5.0,7.0,5.0
599,5.0,7.0,5.0,7.0,5.0
600,5.0,7.0,5.0,7.0,5.0
601,5.0,7.0,5.0,7.0,5.0
602,5.0,7.0,5.0,7.0,5.0
603,5.0,7.0,5.0,7.0,5.0
604,5.0,7.0,5.0,7.0,5.0
605,5.0,7.0,5.0,7.0,5.0
606,5.0,7.0,5.0,7.0,5.0
607,5.0,7.0,5.0,7.0,5.0
608,5.0,7.0,5.0,7.0,5.0
609,5.0,7.0,5.0,7.0,5.0
610,5.0,7.0,5.0,7.0,5.0
611,5.0,7.0,5.0,7.0,5.0
612,5.0,7.0,5.0,7.0,5.0
613,5.0,7.0,5.0,7.0,5.0
